Category: All categories

Metro, fear, success
Victoria TX,100%,
Laredo TX,100%,
Twin Falls ID,100%,
Bakersfield CA,70%,30%
"Billings, MT",100%,
El Paso TX,70%,30%
Harlingen-Weslaco-Brownsville-McAllen TX,70%,30%
Ottumwa IA-Kirksville MO,100%,
Odessa-Midland TX,100%,
Los Angeles CA,70%,30%
Palm Springs CA,69%,31%
Elmira NY,100%,
Fairbanks AK,100%,
Las Vegas NV,75%,25%
Miami-Ft. Lauderdale FL,70%,30%
Cheyenne WY-Scottsbluff NE,100%,
Binghamton NY,100%,
New York NY,71%,29%
West Palm Beach-Ft. Pierce FL,72%,28%
Fresno-Visalia CA,62%,38%
Houston TX,71%,29%
San Antonio TX,71%,29%
Grand Junction-Montrose CO,100%,
Monterey-Salinas CA,55%,45%
Washington DC (Hagerstown MD),70%,30%
Reno NV,70%,30%
San Diego CA,66%,34%
Ft. Smith-Fayetteville-Springdale-Rogers AR,77%,23%
Sacramento-Stockton-Modesto CA,64%,36%
Yakima-Pasco-Richland-Kennewick WA,57%,43%
Austin TX,64%,36%
Waco-Temple-Bryan TX,71%,29%
Albany GA,57%,43%
Missoula MT,100%,
Santa Barbara-Santa Maria-San Luis Obispo CA,63%,37%
Fargo-Valley City ND,77%,23%
Amarillo TX,66%,34%
Ft. Myers-Naples FL,70%,30%
Phoenix AZ,66%,34%
Wausau-Rhinelander WI,65%,35%
Duluth MN-Superior WI,71%,29%
Minneapolis-St. Paul MN,65%,35%
Salt Lake City UT,68%,32%
Topeka KS,70%,30%
Dallas-Ft. Worth TX,68%,32%
Yuma AZ-El Centro CA,100%,
Harrisonburg VA,54%,46%
Tucson (Sierra Vista) AZ,61%,39%
Baltimore MD,65%,35%
Gainesville FL,69%,31%
Beaumont-Port Arthur TX,100%,
Marquette MI,100%,
Dothan AL,100%,
Salisbury MD,100%,
San Francisco-Oakland-San Jose CA,63%,37%
Denver CO,65%,35%
Boston MA-Manchester NH,65%,35%
Hartford & New Haven CT,64%,36%
Albuquerque-Santa Fe NM,63%,37%
Boise ID,67%,33%
Lubbock TX,41%,59%
Chicago IL,63%,37%
Panama City FL,100%,
Des Moines-Ames IA,64%,36%
Tallahassee FL-Thomasville GA,60%,40%
Charlottesville VA,57%,43%
Idaho Falls-Pocatello ID,59%,41%
Orlando-Daytona Beach-Melbourne FL,68%,32%
Raleigh-Durham (Fayetteville) NC,62%,38%
Medford-Klamath Falls OR,100%,
Springfield-Holyoke MA,63%,37%
Tyler-Longview(Lufkin & Nacogdoches) TX,58%,42%
South Bend-Elkhart IN,71%,29%
Colorado Springs-Pueblo CO,70%,30%
Madison WI,66%,34%
Lincoln & Hastings-Kearney NE,57%,43%
Richmond-Petersburg VA,66%,34%
Seattle-Tacoma WA,62%,38%
Anchorage AK,77%,23%
Corpus Christi TX,65%,35%
Honolulu HI,65%,35%
Traverse City-Cadillac MI,100%,
Green Bay-Appleton WI,68%,32%
Savannah GA,71%,29%
Tampa-St. Petersburg (Sarasota) FL,64%,36%
Greenville-New Bern-Washington NC,64%,36%
Milwaukee WI,62%,38%
Flint-Saginaw-Bay City MI,61%,39%
Grand Rapids-Kalamazoo-Battle Creek MI,60%,40%
Detroit MI,66%,34%
Oklahoma City OK,64%,36%
Sioux Falls(Mitchell) SD,68%,32%
Philadelphia PA,63%,37%
Wichita-Hutchinson KS,63%,37%
Jacksonville FL,72%,28%
Omaha NE,66%,34%
Lansing MI,54%,46%
Columbia-Jefferson City MO,70%,30%
Watertown NY,42%,58%
Sioux City IA,49%,51%
Wilmington NC,64%,36%
Erie PA,54%,46%
Greensboro-High Point-Winston Salem NC,59%,41%
Chattanooga TN,65%,35%
Atlanta GA,65%,35%
Charlotte NC,65%,35%
Eugene OR,64%,36%
Butte-Bozeman MT,100%,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63%,37%
Huntsville-Decatur (Florence) AL,72%,28%
Albany-Schenectady-Troy NY,60%,40%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,52%,48%
Chico-Redding CA,67%,33%
Peoria-Bloomington IL,56%,44%
La Crosse-Eau Claire WI,54%,46%
Charleston SC,62%,38%
Florence-Myrtle Beach SC,60%,40%
Tri-Cities TN-VA,67%,33%
Tulsa OK,60%,40%
Columbus OH,62%,38%
Norfolk-Portsmouth-Newport News VA,60%,40%
New Orleans LA,66%,34%
Louisville KY,61%,39%
Providence RI-New Bedford MA,58%,42%
Bend OR,100%,
Portland OR,60%,40%
Jackson MS,67%,33%
Columbia SC,64%,36%
Syracuse NY,55%,45%
Columbus GA,47%,53%
Indianapolis IN,57%,43%
Rockford IL,100%,
Shreveport LA,100%,
Kansas City MO,60%,40%
Mobile AL-Pensacola (Ft. Walton Beach) FL,65%,35%
Buffalo NY,67%,33%
Lexington KY,52%,48%
Portland-Auburn ME,51%,49%
Memphis TN,65%,35%
Augusta GA,62%,38%
Ft. Wayne IN,64%,36%
Burlington VT-Plattsburgh NY,61%,39%
Bowling Green KY,100%,
Davenport IA-Rock Island-Moline IL,52%,48%
Joplin MO-Pittsburg KS,41%,59%
Wilkes Barre-Scranton PA,60%,40%
Toledo OH,55%,45%
Baton Rouge LA,53%,47%
Spokane WA,54%,46%
Rochester NY,62%,38%
Birmingham AL,63%,37%
Bangor ME,55%,45%
Nashville TN,65%,35%
Harrisburg-Lancaster-Lebanon-York PA,57%,43%
Wichita Falls TX & Lawton OK,50%,50%
Johnstown-Altoona PA,47%,53%
Champaign & Springfield-Decatur IL,46%,54%
Rochester MN-Mason City IA-Austin MN,45%,55%
Cleveland-Akron (Canton) OH,58%,42%
Pittsburgh PA,60%,40%
Macon GA,51%,49%
Dayton OH,62%,38%
Little Rock-Pine Bluff AR,56%,44%
St. Louis MO,60%,40%
Cincinnati OH,59%,41%
Knoxville TN,58%,42%
Montgomery (Selma) AL,52%,48%
Youngstown OH,57%,43%
Springfield MO,51%,49%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,56%,44%
Minot-Bismarck-Dickinson(Williston) ND,48%,52%
Charleston-Huntington WV,64%,36%
Lafayette LA,57%,43%
Roanoke-Lynchburg VA,64%,36%
Evansville IN,53%,47%
Mankato MN,,
Monroe LA-El Dorado AR,,
Wheeling WV-Steubenville OH,,
Great Falls MT,,
Lima OH,,
Rapid City SD,,
Bluefield-Beckley-Oak Hill WV,,
Helena MT,,
Casper-Riverton WY,,
Juneau AK,,
Biloxi-Gulfport MS,,
North Platte NE,,
Jonesboro AR,,
Terre Haute IN,,
Glendive MT,,
Quincy IL-Hannibal MO-Keokuk IA,,
Meridian MS,,
Eureka CA,,
Utica NY,,100%
Hattiesburg-Laurel MS,,
Lafayette IN,,
Alpena MI,,
Zanesville OH,,
Parkersburg WV,,
Clarksburg-Weston WV,,
Columbus-Tupelo-West Point MS,,
Abilene-Sweetwater TX,,100%
San Angelo TX,,
Sherman TX-Ada OK,,
Greenwood-Greenville MS,,
Alexandria LA,,
Lake Charles LA,,
Jackson TN,,
St. Joseph MO,,
Presque Isle ME,,
